"","nudi_num","temp_grp","trial_type","mean_angle","sd_angle","sem_angle","mean_vel","sd_vel","sem_vel","avg_length_m","direction_binom"
"896",18,"14","predator",104.7488,66.8699615336446,21.1461385494163,0.0004724,0.000308620658918212,9.75944215163506e-05,0.038,0
"897",19,"16","conspecific",144.644,133.048047638187,50.287435210474,0.00141442857142857,0.00114072664811263,0.000431154146401474,0.037,0
"898",19,"16","predator",153.1567,115.007499771923,36.3685647280572,0.0011467,0.000660730244165919,0.000208941249052349,0.037,0
"899",20,"18","conspecific",47.7568571428571,44.9638707869202,16.9947457264333,0.000660142857142857,0.000745555816951673,0.000281793611453103,0.0235,0
"900",20,"18","predator",35.6397,46.0423558091412,14.5598713196771,0.0003121,0.000476162542275919,0.000150575817004812,0.0235,0
"901",21,"14","conspecific",173.973857142857,84.5639678220548,31.9621755334322,0.00112942857142857,0.00064684332393114,0.00024448379604917,0.0355,0
"902",21,"14","predator",176.7267,103.404561676778,32.699393534998,0.0014487,0.000882416637548399,0.00027904464198802,0.0355,0
"903",22,"16","conspecific",107.910857142857,63.2981235199185,23.924441898679,0.000871142857142857,0.000558557197480386,0.000211114776791185,0.0375,0
"904",22,"16","predator",183.8158,102.13100731011,32.2966602827255,0.002,0.000666666666666667,0.000210818510677892,0.0375,1
"905",23,"14","conspecific",198.53575,135.020930124123,67.5104650620616,0.000742,0.000202120426149033,0.000101060213074516,0.0345,1
"906",23,"14","predator",104.0758,67.6995401507442,21.408474342237,0.00052691,0.000633563867603996,0.000200350486481399,0.0345,0
"907",24,"18","conspecific",132.296285714286,95.6683058501513,36.159220804338,0.000707285714285714,0.00021765240965487,8.22648783143914e-05,0.0205,0
"908",24,"18","predator",83.6556,105.023156886893,33.211238282378,0.00039397,0.000649906598503029,0.000205518511764215,0.0205,0
"909",25,"12","conspecific",197.728,109.096870104814,41.2347410161222,0.000982428571428571,0.000485909407586386,0.000183656493168614,0.031,1
